insignias obilježja
have imaju
sky nebu
roles uloge
tekke tekije
control kontrole
wave val
belt pojasom
stay ostaju
abortion pobačaj
needs potrebe
stars zvijezdama
show predstave
possible moguć
lower donja
upper gornjem
netherlands holandija
heavy teške
to do
sorrow tuge
pyramid piramida
s nule
winters zimama
electrochemical elektrohemijske
novelty novina
beside krajevima
dots tačaka
concentration koncentracija
milko milka
considered smatra
leaf list
work radne
because jer
colours bojama
percentage postotak
name elvis
allah allaha
with s
studies proučava
command naredba
kingdom kraljevina
christian kršćanska
killed ubijen
know znala
headache glavobolje
separation razdvajanje
molybdate molibden
determined određeno
province pokrajini
change promijenio
weight težine
programme programski
female ženki
secreted luči
women ženska
separate izdvajaju
species vrstom
judge sudija
window prozor
last posljednjih
sleep spavanja
concept koncept
sense osjećaj
stages staze
media medij
followed uslijedio
speaker govornika
who koga
standard standarda
aggression agresije
holders nosioci
array niz
natural prirodna
center središtu
duration trajanja
forms oblike
britain britanije
channels kanalima
lilies ljiljana
opening otvaranje
outer vanjska
orthodox pravoslavne
pancreas gušterače
important važan
ussr sssra
contents sadržajima
spouse suprugu
every svaka
meals jela
remembers pamti
phillip filip
bazaar čaršija
would bi
laws zakone
utmost krajnji
chess šah
belong pripadaju
hemodialysis hemodijaliza
term gorja
success uspjeha
present prisutno
use upotrebi
mutual međusobnom
serbian srpskom
illyrian ilira
transmission prijenos
antioxidants antioksidant
geography geografije
rectangle četverougao
choir hor
battery baterije
affect utiču
obviously očito
tissue tkivo
organized organizirao
language jezika
structure sklopovi
recognize priznaju
cups kupa
explaining objašnjava
finished završio
filmography filmografija
outside vanjskog
antic antički
low nizak
exploiting iskorištava
empire imperija
many mnoštvo
led vodene
armed oružane
thereof odatle
extremely iznimno
separate odvajaju
leaves odlazi
happenings događajima
contains sastavu
can mogu
seek traže
velocity ubrzanje
testing provjere
study proučavanja
reserves rezerve
security sigurnošću
right desno
task zadatak
experienced doživio
beyond dalje
network mrežu
liberate osloboditi
turtle kornjača
production produkcija
secret tajno
sum zbir
from iz
branch ogranak
lower donje
goal gol
soldiers vojnika
occurred dogodio
green zelene
last prošlog
live žive
australia australiji
sects sekte
had imalo
display prikaza
electric elektronika
this ovoj
means označavaju
group grupa
classical klasičnoj
eyes oka
service usluga
cells ćeliji
fast brza
aggression agresija
quadrangle četverougao
mohammed muhammedu
secret tajni
scorpions škorpioni
presentation prezentacija
kotromanić kotromanića
connected vezano
medicine medicina
quantity količinu
force snagama
end kraj
disturbances poremećaja
massacre masakra
always oduvijek
defends brani
perform vrše
energy energija
i.e. odnosno
sound zvuk
made napravili
example primjeru
evaluations procjene
region regiona
vergilius vergilije
performed izvodili
festivals festivali
work radna
programming programskog
participate učestvovati
state državnih
way vida
electric električna
footballer fudbaler
shape oblik
surely sigurno
substances tvari
tries pokušajima
states stanja
responsible odgovoran
enjoyed uživali
usually inače
debris ostaci
young mladi
war ratu
circumstance okolnosti
older starije
headache glavobolja
crest grba
achieve postigla
this ovom
fly lete
western zapadnim
data podatak
ships brodovi
many mnogo
fruit voća
animal životinja
believer vjernika
strength snagu
enough dosta
elections izbori
bosniaks bošnjani
lines stihove
laureate dobitnik
two dvaju
opponent protivnik
separation razdvajanja
feature odlika
natural prirodne
thinking razmišljanja
principle princip
forms oblika
britain britanija
try pokušavaju
franciscan franje
return vraćaju
bazaar čaršiji
hordes horde
nickname željo
exposed izloženi
recording snimanja
ways tokovi
metaphysics metafizika
middle srednjem
women ženske
river rio
you vi
laws zakoni
her njenu
root korijen
journalists novinari
had imali
size veličinu
insisted nastojao
children djecu
empire imperije
elected izabran
media medijima
documents dokumentima
lymph limfa
weight težina
every svake
develop razvijeno
occasions prilike
held održavati
grew povećala
winner dobitnik
especially osobito
modern moderna
revolution revolucije
reach dostiže
supervision nadzorom
antic antičke
guitar gitaru
linguistics lingvistika
derivates izvodi
flag zastavu
program programu
older stariji
needed potrebne
thousand hiljadu
win osvajaju
achieve ostvariti
traditionally tradicionalno
multitude mnoštva
zagreb zagreba
connect povezuje
boards ploče
category kategoriju
president predsjednik
air zračni
play svira
collapse propasti
features oznake
potential potencijala
authors književnika
stone kamenih
exhibitions izložbe
novels romani
method metoda
walk ići
factory tvrtka
serbian srpskoj
over nad
band bend
auxiliary pomoćne
interesting zanimljiva
ethnic etničkih
short kratkog
centuries stoljeća
cell ćeliji
location mjesta
code koda
opened otvoren
because pošto
indeed doduše
german njemački
attractions atrakcije
smaller manjim
australia australije
literature literaturi
workers radnici
relationship odnos
africa afrike
thermal toplota
possible moguća
geography geografija
