january ionawr
castle castell
years blynedd
that mair
therefore herwydd
excuse esgus
on ymlaen
marketing marchnata
instrumental offerynnol
spokesman llefarydd
alphabet sillwyddor
interdisciplinary rhyngddisgyblaethol
production cynhyrchiad
quarter chwarter
successful llwyddo
some ychydig
called gelwir
fossils ffosiliau
magazine gylchgrawn
up draw
chemical cemegol
tend tueddu
songs chaneuon
while tra
published gyhoeddwyd
skylark ehedydd
limited gyfyngedig
czech tsiec
combined gyfuno
soldier filwr
common gyffredin
such cyfryw
i es
fund cronfa
dunes twyni
tropical drofannol
autumn hydref
share rannu
foreskin blaengroen
later diweddarach
encyclopaedias gwyddoniaduron
man ddyn
remained arhosodd
extinct diflanedig
offer gynnig
islands ynysoedd
before blaenau
mail e-bost
competition cystadleuaeth
cover cwmpasu
worsened gwaethygodd
moisture lleithder
expense traul
suspended hatal
before chyn
moscow moscfa
they roeddynt
churches eglwysi
imprisoned carcharwyd
whale morfil
here fan
macedonian macedoneg
square sgwâr
monotheism undduwiaeth
concept cysyniad
confirmed cadarnhawyd
line unol
classes ddosbarthiadau
stomach stumog
agriculture amaeth
written ysgrifennwyd
carboxylic carbocsylig
reported adroddwyd
predecessor rhagflaenydd
village bentref
isolation ynysu
offered cynigiodd
people bobl
climb ddringo
drugs cyffuriau
countries gwledydd
fertile ffrwythlon
continued barhaodd
vat taw
pune une
lake llŷn
from oddiwrth
blue gleision
coptic goptaidd
guerrilla herwfilwrol
denbigh dinbych
tactics thactegau
hormones hormonau
wall mur
muslim mwslim
chucking twll
cup cwpan
spanish sbaenaidd
measures mesurau
emphasizes pwysleisio
related cysylltiedig
infection haint
painting paentio
federation ffederasiwn
ie hy
failed methodd
retained chadwyd
environmental amgylcheddol
permanent parhaol
th fed
hard caled
links cysylltiadau
metal metel
decision benderfyniad
masts mastiau
marched gorymdeithiodd
faith ffydd
allow ganiatau
were oedd
africans afrikaans
when phryd
some rhywfaint
charter siarter
three tair
village mhentref
wealth gyfoeth
elected etholedig
total lwyr
there yno
singer canwr
white wen
denbighshire ddinbych
possessed meddiannodd
singer ganwr
door drws
policies pholisïau
wild gymorth
conceptualisation cysyniadau
always wastad
listing rhestru
spoken siaradir
alps alpau
rugby rygbi
territories thiriogaethau
programs rhaglenni
fun hwyl
wales cymru
glass gwydr
trends gogwyddion
it ynddi
representation cynrychiolaeth
escape ddianc
pied gwybedog
constituency etholaeth
statement datganiad
soviet sofietaidd
statement ddatganiad
take gymeryd
you rydych
formula fformiwla
go fynd
labor lafur
cover clawr
soup cawl
equator gyhydedd
selection ddethol
ten deg
tradition traddodiad
sounds seiniau
properties phriodweddau
string llinyn
growth tyfiant
blood gwaed
link dolen
critical beirniadol
moves symuda
acoustic acwstig
tagging sgïo
generation genhedlaeth
learned ddysgodd
formed ffurfiwyd
forms ffurfiau
retreat encilio
extent raddau
sentences brawddegau
active actif
dc fc
until nes
simple syml
lakes lynnoedd
has wedi
realize sylweddoli
occupied feddiannu
twin efaill
vote phleidlais
wool gwlân
accidents damweiniau
published cyhoeddir
retained chadwodd
communities gymunedau
program raglen
castle chastell
concert gyngerdd
exactly union
coverage darllediadau
oasis gwerddon
translation cyfieithiad
jumped neidiodd
poetic barddol
flag baner
graphics graffeg
richard rhisiart
landlocked tirgaeedig
capital cyfalafol
match gydfynd
days dyddiau
mountains fynyddoedd
safe ddiogel
strong gref
expectation disgwyliad
achieve dyfeisydd
noise sŵn
weak wan
rocky creigiog
diatomic deuatomig
offenses droseddau
uranus wranws
victory fuddugoliaeth
side ochr
around amgylch
state gwladwriaeth
awards wobrau
earlier ynghynt
drawer grog
popular poblogaidd
shallow fàs
organisms organebau
pipit corhedydd
mention sôn
treatment drin
subspecies isrywogaeth
dropped gollyngodd
pope pab
entirely gyfangwbl
mean cymedrig
criticized beirniadwyd
research ymchwil
for fôr
forces lluoedd
allowed chaniateir
disease afiechyd
are ydyn
closed caewyd
holiday wyliau
gross crynswth
ill sâl
chapter pennod
ulster wlster
dublin dulyn
tertiary trydyddol
skin croen
employed cyflogi
subtitles isdeitlau
elections etholiadau
rock roc
composed cyfansoddodd
home hafan
smile gweu
fifth bumed
update diweddaraf
imperial ymerodraethol
interest ddiddordeb
protests protestiadau
now nawr
bridge bont
rain glaw
animals anifeiliaid
province thalaith
cornish cernyweg
orthodox uniongred
fall ddisgyn
