drinking potable
spirituals espirituales
reception acogida
survey encuesta
fuel combustible
government gobierno
are son
descendants descendencia
single sólo
derive derivan
default defecto
secretions secreciones
serious serio
edited editó
holland bajos
remote alejado
organ órgano
penis pene
came entraron
mister señor
brief breves
geological geológica
caused causadas
dependants dependientes
adoption adopción
work trabajos
takes toma
schizophrenia esquizofrenia
call denominó
begun iniciado
made realizó
relatives parientes
leadership liderazgo
merger fusión
built construido
comfort gusto
lipid lipídica
spiritual espiritual
tenth décima
working trabajando
kilometers kilómetros
that aquella
artifacts artículos
beverage bebida
observe observan
even aun
arrived venido
text textos
face cara
imports importaciones
shoes calzado
south sur
scenarios escenarios
conducted realizó
necessary necesarios
forget olvidar
provide provee
transition transición
hole agujero
plenty mucho
places sitúa
rite rito
hormones hormonas
minor pequeño
law ley
representative representativos
drafting redacción
thirty treinta
value valor
state estatal
added agrega
hotels hoteles
captured capturados
ballads baladas
administrative administrativa
producers productores
result producirse
was formaba
poem poema
named nombra
signal señala
variants variantes
eight octava
feel sienten
organized organizada
finished termina
many muchos
latins latinos
offered ofreció
cells glóbulos
record constancia
cover cubrir
economic económicos
raise plantear
minerals minerales
creole criollos
functional funcional
composed compone
mentioned mencionó
variety variedades
doubt duda
exceeds supera
pioneer pionero
medici médici
develop desarrolladas
chlorine cloro
sirs señores
enriched enriquecido
plateau altiplano
testimonies testimonios
different diferente
controls controles
meet cumplen
communicate comunicarse
values valores
entailed supuso
compound compuestos
node ganglios
solid sólida
reverse inverso
delay retraso
concrete hormigón
come ven
parabola parábola
kingdom reino
m mt
radiation radiación
denomination denominación
electromagnetics electromagnéticas
involve involucra
mint monetaria
similarly igualmente
hired contratado
talent talento
highest superiores
marine marino
perform desempeña
portuguese portugués
use aprovechamiento
victorian victoriano
control controla
concern preocupación
rebel rebelde
intense intenso
dissolution disolución
goal gol
participated participó
theoretically teóricamente
resource bien
collaborators colaboradores
celebrated célebres
appropriate correspondientes
secretary secretario
search buscan
tales cuentos
refusal rechazo
cups vasos
church misa
rectangle rectángulos
determinants determinantes
intervene interviene
unity unidad
felt sienten
microphone micrófono
signified significados
vampire vampiro
journey jornada
converts convierte
finland finlandia
welcome acogida
medicine medicina
crosses atraviesa
subjects materias
ecologic ecológica
bigger mayor
lies radica
northeast noreste
low bajo
federation federación
activities actividades
academy academia
open abierto
squares cuadros
news noticia
originated originó
started comenzaron
radical radicales
describe califica
nascent naciente
communication comunicación
pretty bellas
ball baile
gave otorgó
rehearsals ensayos
analogy analogía
kinetics cinética
know saber
who quien
only únicamente
colombian colombiano
statues estatuas
succession sucesión
if si
year año
mexicans mexicanos
climates climas
transcription transcripción
experiment experimento
indexes índices
postulate postula
but sino
appoint nombres
disciples discípulos
lover amante
methods métodos
double doble
river río
surveys reconocimientos
usage utilización
light ligero
included incluidas
sing cantar
affects afecto
unusual extraño
landscapes paisajes
antarctica antártica
measurements mediciones
technical técnicos
defined definido
investment inversiones
internationals internacionales
runs corre
man hombre
according acorde
discreet discreta
exercise ejercer
accused acusó
reaches llegue
assume suponer
had habían
controlled controlada
elaborated elaboró
primitive primitivos
should debe
know sabe
equivalent equivalentes
renewal renovación
relaxation relajación
corporal corporales
temperature temperaturas
wing ala
marked marcado
archaea arqueas
iceland islandia
antilles antillas
suitable adecuado
manufacture manufactura
continued siguió
catalunya cataluña
metal metálicos
tree árboles
followed siguen
exceeded superó
originals originales
living salón
search buscar
modern moderna
ends acaba
feature rasgo
concept concepto
second segundo
tall altas
did hicieron
continued continuó
spreads extiende
convert convertiría
watch reloj
scandinavian escandinavo
telephones teléfonos
informed informó
designs diseños
granted concedió
availability disponibilidad
verify verificar
true verdadera
tribes tribus
save guardar
