feasts fêtes
respective respectives
grounds terres
comprise comprennent
japanese japonaise
created fondé
evolves évolue
further davantage
highly fortement
read lue
tolerance tolérance
displacement déplacement
opposition oppositions
governors gouverneurs
oceans océans
existed existait
uphill montant
vitamin vitamine
building monument
quite actif
announced prononcée
memoirs autobiographie
leadership dirigeants
principal capital
band troupe
voice voix
mysterious mystérieux
metropolitan métropolitaine
deep profond
situated situe
charcoal charbon
his son
construction bâtiment
blossom fleur
encourage pousser
sit remplacé
strictly strictement
economical économiques
peers pairs
hero héros
domain domaine
considered censé
prefect préfet
blind engage
constitute représentent
creates créée
throne trône
damages dégâts
regarded considérés
museums musées
homer homère
jewelry bijoux
led abouti
case affaire
mind esprit
advertising publicité
english anglophone
commercial commerciaux
funeral obsèques
internal intérieures
mayfly manne
function marcher
comedic comique
affects affecte
sport sportive
belong appartient
institutions établissements
historical historiques
attach atteints
russians russes
place emplacement
break-up séparation
registered enregistrées
up placé
attempts tente
increase augmentent
prevent empêcher
locations lieux
romantic romanesque
of des
faculties facultés
elderly âgées
accept accepter
appears apparaît
road chemin
drop perd
maintaining conservant
nave nef
uniting réunissent
track piste
part fraction
covent couvent
small petits
efficiency efficacité
rumour rumeur
promote présentant
polemic polémique
changed modifié
gauge jauge
preserved conservés
recovers récupère
associated associé
digital numérique
glory gloire
left restée
variants variantes
starts démarre
marie marié
only nen
relationship rapports
sometimes tantôt
find retrouve
seeding germe
latter derniers
sold vendus
plaster couvrent
part bout
leonardo léonard
surveys enquêtes
relocation transfert
late retard
furnish équipé
investigate examens
rare rares
revenge venger
definitive définitif
fantastic fantastiques
rankings classements
boat paquebot
way façon
total montant
recover remontant
reflection réflexions
scorch brûler
workforce effectifs
explain expliquer
demonstration protestation
from proviennent
indicate désigner
international internationaux
celtic celtes
telephony téléphonie
earthly terrestre
new nouvelles
briefly brièvement
borrowed emprunté
wall mur
ruin ruine
autumn automne
quiet calme
ten dizaine
pocket poche
university universitaire
but maïs
conquer conquérir
german lallemand
claim réclament
bones os
normal normale
look mine
great grand
hear entendu
homes résidences
cause provoquer
recurring périodique
retain conservent
touch contacts
battle lutte
tv télévision
situations situation
mandates mandats
intermediaries intermédiaires
parts parties
unitary unitaire
illustrated illustré
advantages avantages
which lesquelles
like veut
attack attaqué
waiting attendant
constructed constituée
focuses concentre
generations générations
excess excès
kill détruits
rehab réhabilitation
adds ajoute
iconic emblématiques
passive passif
tables tableaux
expected attendu
drink boissons
draw tirage
contributions apports
alsatian alsaciens
knew su
individual individuelle
palm paume
relationship parenté
edge bord
move déménage
exposed exposée
making faisant
despatch envoie
it cela
virginia virginie
globally globalement
tender donnés
grenoble grenobloise
if si
archaeological archéologique
or sinon
senator sénateur
recourse recours
poll sondage
landscapes paysages
confused confondues
holding tenue
sign signer
great grandes
sympathy sympathie
advisor conseiller
pilots pilotes
has jouit
plant centrale
extend prolonge
destiny destinée
settlement établissements
manufacturing fabrication
statement déclaration
under relevant
portuguese portugais
devotee partisans
detractors détracteurs
respond répondent
vote voter
next prochain
voice exprime
poets poètes
indicate indiquent
surgery chirurgie
additional supplémentaires
urban urbains
protect protège
favors prône
door porté
thoughts pensées
birth naissance
competent spécialisé
desert désert
realizes réalise
interior intérieurs
sociological sociologique
fixed fixée
esteem estime
public commun
beating battant
early précoce
relay relais
rejoin répond
tries cherche
proceedings poursuites
given doté
