roamed ફર્યો
arrest ધરપકડ
pandurang પાંડુરંગ
passenger યાત્રી
including સહિતના
famous પ્રસિધ્ધ
recently તાજેતરમાં
leave છોડીને
1928 ૧૯૨૮
just સહેજ
tour યાત્રા
learnt શીખ્યા
magadh મગધ
dimension પરિમાણ
type સ્વરૂપની
small વામન
till છેક
flowing વહેતી
by કૃત
having હોવાનું
cold ઠંડા
earthquake ધરતીકંપની
gone જાવ
valmiki વાલ્મિકી
bad ખોટા
beatitude નિર્વાણ
name વિચિત્રવિર્ય
processed પરિવર્તિત
making બનાવવાની
pop પોપ
nami નામી
tantra તંત્ર
problem સમસ્યા
ocean સમુદ્રના
evidence પુરાવો
belief માનવુ
noted નોંધ્યુ
branch શાખાની
considered ગણતા
running ચલિત
fierce ઉગ્ર
residence રહેઠાણ
somebody કોઇએ
address સંબોધન
our અમારી
responsibility જવાબદારી
's નુ
kingdom કિંગ્ડમ
states સ્ટેટ્સના
benefit ફાયદો
image છબી
periodical સામાયિક
reaction પ્રતિસાદ
creator રચયિતા
figure આંકડો
esteem મહાનુભાવો
dam ડેમ
besides તદુપરાંત
decade દાયકા
way રાહ
industries ઉદ્યોગો
as જેટલો
scandal કૌભાંડ
incomparable અદ્વિતીય
increase વધતો
traveller પ્રવાસી
notes ટિપ્પણી
involved સંકળાયેલા
vada વડ
derivatives વ્યુત્પત્તિશાસ્ત્ર
stephen સ્ટીફન
read વાંચે
saurashtra સૌરાષ્ટ્ર
partner સાથી
dialect બોલી
tourists પ્રવાસીઓને
burning દહન
understanding સમજાવ્યું
name બળવાને
meeting સભાની
g. જી
day દિને
water પાણી
authority સત્તાઓ
defeated પરાસ્ત
quality ક્વોલિટી
feet ફુટ
spread ફેલાવાની
artists કારીગર
take લેવો
long લાંબો
because પણે
prohibit દેશવટો
believed માનીને
countries દેશો
thought મનાતા
dada પાંડુરંગ
previously પહેલાં
speeches પ્રવચનો
overview ઝાંખી
highlands ઉચ્ચપ્રદેશ
article મુસદ્દો
moved વળ્યું
non નોન
headquarters મુખ્યમથક
's ની
name નામ
started માંડ્યા
oppression અત્યાચાર
show બતાવવા
forefathers પૂર્વજો
continued જારી
previous અગાઉના
addresses એડ્રેસ
developed વિકસાવવામાં
appraisal વખાણ
harbour હાર્બર
state રાજય
weapon હથિયારો
remove નાબૂદ
speaking બોલતા
with ભરેલી
africa આફ્રિકામાં
binding બંધન
happened ચુકી
durvasa દુર્વાસા
remain રહ્યો
experiencing અનુભવે
process ઘટનાનો
motion ગતિ
cold ઠંડી
immense વિપુલ
presuming ધારી
extended વિસ્તરેલી
subject વિષે
side પાછળના
producers ઉત્પાદકો
other બીજાં
intention ઉદ્દેશ્યથી
square ચોરસ
detailed વિગતવાર
abode સ્થાનક
translations અનુવાદો
convention સંમેલન
realized સાક્ષાત્કાર
maritime તટવર્તી
rampura રામપુરા
see જોવાય
done કરાવ્યા
cooperative સહકારી
he તેણે
increasing વધતો
man પુરુષ
put નાખવા
joseph જોસેફ
maintain જળવાઇ
poignant માર્મિક
supervision દેખરેખ
wife પત્નીને
hebrew હિબ્રુ
set બેસે
pro તરફી
came આવેલો
male નર
turn વળે
my માઝા
against સામે
guidance માર્ગદર્શક
established સ્થાપવા
marathi મરાઠી
rain વર્ષા
tourist પર્યટક
true સાચા
mail મોલ
meeting સભાના
goans ગોવાના
defeat હરાવીને
guide ગાઇડ
by વડે
copyright કોપીરાઈટ
involved સંકળાયેલી
name પંજાબી
have ધરાવે
agreement કરાર
arranged યોજાયેલ
speech બોલચાલની
research સંશોધન
missing લાપત્તા
substance દ્રવ્યો
priest સંતોએ
vishnu વિષ્ણુનો
opposite વિરુદ્ધ
strict ક્રૂર
moldova મોલ્ડેવિયા
followers અનુયાયીઓ
wide ધરખમ
luster તેજ
language બોલીઓમાં
substance દ્રવ્ય
garden ગાર્ડન
technical તકનિકી
from તેમાથી
adviser સલાહકાર
shuttle યાન
known જાણીતાં
indigenous દેશી
warmth ઉષ્મા
incident બનાવ
after બાદ
any કિસી
rigid સ્થિરતા
several અનેક
zero ૦
books ગ્રંથોના
both બને
state રાજ્યની
so એટલી
flaunt દંભ
blade દળોએ
ability કૌશલ
still હજૂ
board બોર્ડ
thinking વિચારધારા
independent આઝાદ
hight કદ
formula સૂત્ર
expert નિષ્ણાત
powers બળો
sms એસએમએસની
administration કાર્યભાર
preface પ્રસ્તાવના
quick જલ્દી
raises ઉઠે
their એમનો
members સભ્યોને
carriage વહન
plan રચે
seem લાગતા
cloth વસ્ત્રો
work કાર્યભાર
take કાઢી
optional વૈકલ્પિક
seen જોયો
wish કોડ
wish ઇચ્છા
labour મજૂર
janaki જાનકી
marriage વિવાહ
creates રચે
name ભરત
fastest જલ્દી
citizenship નાગરિકત્વ
self સ્વ
at નિમિત્તે
duration સમયગાળા
supposing ધારી
contact સંપર્ક
recognized માન્ય
listen સાંભળીને
additional અધિક
was હોતું
unavailing નિષ્ફળ
saint સેઇન્ટ
achieved મેળવ્યો
path રસ્તે
foothill તળેટી
row હારમાળા
notes નોંધો
henry હેન્રી
receipt પ્રાપ્તિ
own સ્વ
payload સ્ફોટક
group જૂથના
bangalore બેંગ્લોર
eighteen અઢાર
swiftly તરતજ
spoke બોલ્યા
feeling ભાવના
poets કવિઓએ
lakh લાખ
additional અતિરિક્ત
management વ્યવસ્થાને
save રક્ષા
purpose હેતુ
ruin પતન
care સંભાળ
uprising જાગૃતિ
still હજુ
inter આંતર
indian ઇન્ડિયન
able સાધી
km કિમી
women મહિલા
rajput રાજપૂત
electromagnet વિદ્યુતચુંબકીય
27 ૨૭
army ફૌજ
sabarmati સાબરમતી
z ઝેડ
selection પસંદગી
gregorian ગ્રેગોરીયન
shows બતાવે
renovation જીર્ણોધાર
majority મોટે
students વિદ્યાર્થીઓએ
marvelous અબજ
put મુક્યા
painted ભરી
propaganda પ્રચાર
side પક્ષે
creative સર્જનની
under આધીન
bridge મિનારા
general સામાન્ય
natal નાતાલ
belief આસ્થા
excess વધારાનો
suspect શક
send મોકલી
go જવા
characteristic વિશિષ્ટતા
construct બાંધવામાં
financial નાણાકીય
honorary માનદ્
help સહાય
band બેન્ડ
city શહેરનો
