other अन्य
sikandar सिकन्दर
thorax वक्ष
people जन
immunization टीकाकरण
tatanagar टाटानगर
name विन्या
central एकक
aditya आदित्य
sikri सीकरी
outstanding सर्वोत्तम
maximum अधिकांशत
occupations व्यवसायों
became बनें
about सम्बंधी
value शुल्क
get पाये
mystic फकीर
links लिंक्स
sexual लैंगिक
opposite उलट
gautam गौतम
wear पहनते
custom रिवाजों
war युद्घ
told बताया
fruit फ़ल
motors मोटर्स
health स्वास्थ्य
garden बाग
saplings पौधों
programming प्रोग्रामिंग
based अंतर्गत
inclusive भत्ते
taken जाया
tertiary तृतीयक
banyan पीपल
procession जुलूस
custom पद्धति
ever अखंड
dna डीएनए
mainly सामान्यतः
singing गाते
unit इकाई
stoping रोकता
rivalry होड़
improve सुधारने
opportunity मौका
center सेंटर
dance रास
traveler राही
forms रूपों
poet शायर
independence आज़ादी
genetic आनुवंशिक
let लें
lives जन्मों
kobe कोबे
inferiority हीनयान
nano नैनो
ambition महत्वाकांक्षा
but लेकिन
bhagalpur भागलपुर
density आयतन
bed बिस्तर
palace महल
state प्रदेश
discretion विवेक
matter मामले
junior जूनियर
london लन्दन
force बलों
sweets पकवान
openly खुलकर
exit निकास
position पोजीशन
sulphur सल्फर
just सिर्फ़
operating चलाना
decorate सवार
turned फेर
advocate वकील
ghazal ग़ज़ल
tiger टाइगर
filmy फिल्मी
bhairav भैरव
demon असुरों
skin छाल
shortage न्यूनतम
trial परिक्षण
telescopic दूरदर्शी
conditions शर्तों
thing चीज़
substances पदार्थों
knot गांठ
upper उपरी
organize आयोजन
each हरेक
u यु
power बल
joint जुडे
israel इजराइल
singers गायकों
energy ऊर्जा
color वरन
name तेग
population जनसंख्या
stage चरण
glacier ग्लेशियर
doubt आशंका
odra ओड्र
forced पड़ा
rajya राज्‍य
bhat भाट
true सच्चा
educated विद्वानों
obtained अर्जित
starting लगा
expressed जताई
inside भीतरी
special ख़ास
saying कहते
like चाहता
defence सुरक्षा
darwin डार्विन
canal नहर
take लगेगा
terminology निरुक्त
express एक्सप्रेस
pride अभिमान
business व्यवसायिक
cancel रद्द
expressed अभिव्यक्त
try प्रयासों
arms हथियार
phylum फ्लोएम
next अगले
pillar स्तम्भ
tied बंधे
seats सीटें
school पाठशाला
only सा
desi देशी
forests वनों
ruling सत्तारूढ़
joints जोड़ों
strange विचित्र
typology वर्गीकरण
adorned अलंकृत
factories कारखाने
ideal आदर्शों
suitable उपयुक्त
confusion भ्रम
ramayana रामायण
published प्रकाशित
fundamental मौलिक
dogs कुत्ते
white सफेद
64 ६४
you तूने
mechanical धातुकर्म
increase बढ़ी
creatures जन्तुओं
mention उल्लेख
born जानी
sympathy सहानुभूति
principles सिद्धान्त
friendship मित्रता
equiangular समकोण
when कब
method विधि
under अर्न्तगत
sydney सिडनी
divide वाट
enthusiasm उत्साह
decent सभ्य
shipwreck चट्टान
gates गेट्स
asian एशियन
campaign अभियानों
voice आवाज़
child बच्चे
interior आन्तरिक
bollywood बॉलीवुड
medicines औषधियों
personal व्यक्ति
connected जुडा
script आलेख
aggregator एग्रीगेटर
credit ऋण
total लगभग
interesting रोचक
cheating धोखा
fifth पंचम
sweets मिठाई
6th छठे
bali बालि
priest पंडित
committee कमेटी
gathering भीड़
working कार्यान्वयन
name आलम
autobiography आत्मकथा
rolling रोलिंग
bhutan भूटान
banglore बंगलुरु
reality यथार्थ
beginning शुरुआत
implementation कार्यान्वयन
theocracy समाधि
railway रेलवे
arbitration मध्यस्थता
wish आशा
devotees भक्तों
ours हमारा
plato प्लेटों
aten अतेन
ten दस
character कैरेक्टर
race नस्ल
moon चन्द्र
place स्थल
priya प्रिया
conversation परिभाषा
synonym पर्याय
nowadays आजकल
belief धारणा
nasik नासिक
making बनाने
leave छूट
emperor महाराजा
vivekanand विवेकानंद
open खुला
hard कडी
path मार्ग
election चुनाव
dee डी
episodes परंपराएं
pupa प्यूपा
easter ईस्टर
lifelong जीवनकाल
try चेष्टा
basin द्रोणी
instantly तुरन्त
effect ज़ोर
sun सूरज
son सोन
status स्थिति
binding सर्वमान्य
stock स्टॉक
violet बैंगनी
