represent melambangkan
fennel fenol
now kiri
lyric syair
sexy seksi
singapore singapura
proclamation proklamasi
decide memutuskan
communism komunisme
designed dirancang
transparency transparansi
although walau
switch mengalihkan
fair jujur
finish menyelesaikan
explorers penjelajah
forever selamanya
pyramid piramida
budget ad
son puteranya
defined didefinisikan
release melepas
version versi
if olah
establishment berdirinya
planned terencana
standard baku
truth kebenaran
growth perkembangan
rebel pemberontak
afternoon senja
background latar
lifted diangkat
children anaknya
declining menurunnya
collar kerah
mixing pencampuran
sacrifice pengorbanan
stop berhenti
late lambat
zoomed dibesarkan
wrap membungkus
paid dibayarkan
business bisnis
equal sejajar
yam ubi
glorify memuliakan
sweet manisan
speed kecepatannya
trial percobaan
how seberapa
spontaneous spontan
plantation perkebunan
birth kelahirannya
against berlawanan
eggs telur
music musiknya
crust kerak
distance kedekatan
compositor penyusun
volunteer sukarela
expelled dibuang
fake palsu
obesity obesitas
challenge tantangan
present hadir
attach menempel
couple berpasangan
loan pinjaman
uses kegunaan
flow alur
counseling penyuluhan
soldier prajurit
oldest tetua
object obyek
respond merespon
collision tubrukan
simple ringkas
cover penutup
director sutradara
time kali
development pengembangan
divided dibagi
epic epik
majestic agung
letter huruf
adjust menyesuaikan
melt lebur
pleasure nikmat
code kode
extend merambah
parade pawai
fat gemuk
chronology kronologis
argument perselisihan
ordered diperintah
address alamat
state kenegaraan
absorption penyerapan
phyla filum
captain kapten
goal tujuannya
the nya
creativity kreativitas
arabic arab
relation kaitannya
mango manga
next berikutnya
observed diamati
problem masalah
i.e. yakni
respiration pernapasan
medical medis
deed akta
sanskrit panca
malacca malaka
stomach lambung
term istilah
heated dipanaskan
suggest menganjurkan
hide bersembunyi
goal gol
adult dewasa
vegetables sayur
produced dihasilkan
relationship hubungan
soul arwah
dive selam
productive produktif
tone nada
promise berjanji
product produk
begins berawal
understand mengerti
complex rumit
strategic strategis
scheduling penyelenggaraan
mourning ratapan
beefy berdaging
indeed sungguh
research penelitiannya
fold lipat
instead daripada
wear mengenakan
finland finlandia
reap menuai
cage kandang
description deskripsi
forecast meramalkan
thing hal
babylonia babilonia
circuit rangkaian
plot alur
wire dawai
patient pasien
distinction keistimewaan
consist terdiri
named dinamakan
shape berbentuk
bound terikat
fulfill memenuhi
monument monumen
measles campak
farm peternakan
filled terisi
item butir
afire menyala
reproduction reproduksi
device perangkat
