mainly galvenokārt
specific konkrētās
death miris
themes motīvi
regional reģionālā
acceleration paātrinājums
control kontrole
restoring atjaunošanu
coast piekrasti
vigorous intensīvi
feldspar laukšpats
session sesiju
use lietošanu
transmit raidīt
spectators skatītāju
region reģions
milas mīlas
root sakne
lots daļām
medieval pakalpojumiem
flag karogs
exit kolizeja
compare salīdzināt
florence florencē
point punktā
ended beidzās
lambs jambs
crops labības
attention uzmanību
sports plankumu
humanism humānisms
return atdot
reasons iemesliem
features īpatnības
kettler ketlers
capable spējīgs
value vērtības
jean žana
initiative iniciatīvu
were tikušas
cancel atcelt
postwar pēckara
action rīcību
based balstoties
i es
test pārbaudes
short īsā
historical vēsturiskā
legion leģions
volumes apjomi
geographically ģeogrāfiskie
vishnu višnu
reptiles rāpuļiem
ships kuģu
cover aptver
mergers apvienošanos
cultural kultūras
nest ligzdo
emperor imperators
interior vidienē
mode režīmā
defeat sakāves
do dara
nice nīčes
division divīzijas
membership iestāšanos
countries valstīm
plant augus
of pār
texts tekstos
develop izstrādāta
revolution revolūcijas
federal federālā
networks tīkliem
region reģionu
support balsta
circle loks
hair māti
map kartē
estate muižu
view uzskata
oversea aizjūras
debt parāda
outdoor ārēji
absolute absolūto
concentration koncentrēšanās
member locekle
usage izmantošanas
professional profesionālās
dancing dejas
themself viņiem
prewar pirmskara
flag karogu
gradually pakāpeniski
march martā
interests interesēs
court galma
students skolnieku
sir sers
living dzīvais
holds aizvada
there nepastāv
festival svētkos
soldiers karavīri
resources izrakteņu
senate senāta
him viņām
device ierīci
sis šis
important svarīga
most vairākumā
month mēnešu
diamond dimantam
memory atmiņa
true patiešām
fame slavas
half pusē
property īpašība
legends leģendas
post raksti
continued turpinājās
which kādiem
local vietējās
eventual iespējamo
congress kongresā
source iztekas
membership dalību
medal medaļu
mammals zīdītāju
commission komisijas
aida aīda
afghani afganistānas
emperor imperatoru
practical praktiskā
strife nesaskaņas
livonia livonija
famous slaveno
activities aktivitātēm
music mūziķis
old veica
poetry dzejai
japan japāna
prospects perspektīvas
concert koncertu
good preču
lose zaudē
union savienība
depression depresijas
later vēlākajos
group grupa
biography biogrāfija
common kopējās
used lietotās
kaku kaķu
viking vikingu
poem poēma
base bāzu
technique tehnikā
picchu pikču
results rezultātiem
coast piekraste
diamonds dimantus
wrote sarakstīja
geographical ģeogrāfisko
high augsti
gods dievi
powerful spēcīgās
rada radās
frequent lielākajai
limp ekstremitātes
eye acīm
livi līvi
volume tilpumu
ideals ideāliem
found atrodami
germany vācijas
setting nosakot
more precīzāk
style stilā
oldest senākā
observed ievēroja
politicians politiķi
view skatījumā
historians vēsturnieki
problems ieviešanas
leader vadītājs
votes balsis
concentrate īpašas
scale skalas
spots plankumi
mites ērces
hundreds simtus
sedimentary izņēmumi
connected savienotajām
birds putnu
head galva
deepest dziļākais
jana jāņa
dimensions izmēri
volcano vulkāns
cycle ciklā
karla kārļa
employees darbiniekiem
soldiers kareivji
statement apgalvojums
faster ātrāk
ac maiņstrāvu
charge maksas
salus sāļus
aircraft lidmašīnu
heavenly debesu
significant nozīmīgs
located izvietota
what kādi
landscape ainava
kadi kādi
consisted sastāvēja
literally burtiski
formula formulu
movement kustībai
alphabet alfabētu
vertically vertikāli
carbides karbīdi
furthest vistālāk
marijuana marihuānas
pressed spiesti
currency valūta
music mūzika
development attīstību
you jums
vra var
child bērns
geology ģeoloģija
perform veiktu
dissatisfaction neapmierinātība
divisor dalītājs
achievements sasniegumus
negative negatīvs
million miljonu
commission komisija
week nedēļā
feel just
switching pārējo
vatican vatikāna
teach mācīt
spain spānija
slab plātnes
volume tilpums
freight kravu
often bieži
artery artērijas
risk risks
the attiecīgo
arabia arābijā
myth mīti
it tas
units vienībām
source avotos
process apstrādāt
simply vienkārša
bonuses prēmijas
tha noteikto
descending reģistrēti
throne troņa
contextual kontekstā
order ordenis
germany vācijā
selected ievēlē
production ražošana
gentleman kungs
window logu
x-rays rentgenstarus
interference iejaukšanos
nils nīla
galaxy galaktika
human cilvēka
division sadalīšanu
expansion paplašināšanās
roads ceļi
argument arguments
think domā
component sastāvdaļa
techniques paņēmienus
north ziemeļiem
charge lādiņš
wins uzvar
economically ekonomiski
waits veidojot
called dēvēja
troops karaspēks
permitted atļauts
spirit gars
contributed veicināja
services pakalpojumiem
record pierakstīt
principle princis
hand pusēs
exists eksistē
fluorides fluorīts
nails nagus
million miljons
sphalerite sfalerīts
gothic gotika
independence neatkarības
candidates deputāti
oceans okeāni
tourism tūrisms
early agrīnā
material materiālā
communist komunistu
borders robežām
own savas
electronics elektronika
bet droši
square laukumā
confederation konfederācijas
jerry fricis
executed izpilda
scale skalu
kingdom states
reinforced pastiprināja
manifested izpaudās
received saņēmis
statue statuja
other otra
present tagadējo
decisions lēmumus
bundled saistītā
mediterranean vidusjūru
consist sastāv
to uz
enterprise uzņēmumu
up līdzi
height augstumu
simultaneously vienlaicīgi
reduction samazināšanos
simple vienkāršas
neptune neptūna
stalin staļina
relationships sakarības
civilizations civilizācijām
primary primārajā
association asociācijas
form reforma
induction indukcijas
wooden koka
million miljoni
maximum maksimālais
victor viktors
flint krams
height auguma
majority vairākumā
battle bataljons
extensive plašām
famous slaveni
resistance pretošanās
plans plānos
investment investīcijas
altitude augstuma
german ģermāņi
baby mazuļus
environment vidē
first pirmajos
disruptions traucējumus
still joprojām
conviction pārliecība
electoral elektoru
devoted veltīja
serious nopietnu
would dotu
subordination pakļautībā
western rietumu
bands joslām
intensity intensitātes
iceberg aisbergs
butane butānu
good laba
light gaismas
phone telefons
historians vēsturnieku
judgment spriedumu
sharply asi
eurovision eirovīzijas
ola olām
allocate piešķirta
exploring pētot
warm siltā
broad vispārējās
free brīva
rider jātnieks
capacity kapacitāte
desire vēlēšanās
isa īsā
height augstums
poetry dzejas
single solo
some daži
good labas
section šāda
large lielu
theoretically teorētiski
lithuanians lietuviešiem
team komandas
. alkaloīdi
voice balss
small mazā
regulated regulē
battalion bataljons
emperors imperatori
economic ekonomiskās
accommodation mājvieta
this šo
book grāmata
felt jūtama
old senu
external ārējās
speech runā
issue izdod
conditions apstākļos
torque griežas
religious reliģiskajām
oak ozols
kata kādas
meadows pļavas
electrons elektroniem
discoveries atklājumi
protests protestiem
middle tuvajos
speeds ātrumu
representatives pārstāvjus
become kļuvis
evening vakara
fall kristiešu
ukrainian ukrainu
europe eiropā
above virs
championships čempionātos
cooperation sadarbības
florida floridas
criticism kritika
scientist zinātnieks
family saimes
phone telefonu
marked apzīmēts
excavated rakstā
judgment spriedums
economic saimnieciskajā
plain līdzenuma
established nodibināta
banks krasti
battalion bataljonu
oxygen skābekli
provided nodrošināta
geographical ģeogrāfiskie
requires prasa
carthage kartāga
remark ievērojamākie
thinkers domātāji
holder īpašnieks
processes procesus
songs dziesmām
organized organizētas
small nelielā
april aprīlis
large lielajam
changed nomainīja
existence pastāvēšanu
actually īstenībā
corps korpusa
viral vīrusu
texts teksti
spread izplatīšanos
base bāzes
digestive gremošanas
two abas
followed seko
impression impresionisms
storm vētra
evaluated vērtēja
applied pielietoja
democracy demokrātija
large lielo
panorama panorāma
horse zirgam
lakes upēm
structure struktūra
any jebkuram
pskov pleskavas
located izvietoti
waves viļņus
exhibition izstāde
high augsta
egyptian ēģiptiešu
tournament turnīra
tresa trešā
saxony saksijas
money nauda
roman romiešu
found atrodama
first pirmie
pulse impulsu
control kontroli
granted piešķirtas
thirty trīsdesmit
more vairākām
couple pāris
communism komunisms
novel romāņu
found konstatēts
feeding barības
folk dainu
did izdarīja
pneumonia pirmoreiz
competitions sacensībās
than nekā
balanced līdzsvaru
moving pārvietojās
volleyball volejbola
states precīzs
latvia latvija
seriously nopietni
syntax sintakse
addresses adreses
link saista
tradition folkloras
anthem himnas
probe zonde
henry indriķa
baseball beisbols
administration pārvalde
cat kakls
sir sērs
power varas
prehistory aizvēsture
email e-pasts
ing karalis
edition izdevumos
reform reforma
borders robežās
benefits priekšrocības
formed veidojusies
communist komunistiskā
objectives mērķus
versa vērsās
image attēls
raising sacelšanās
eruption izvirdums
table tabulas
industry nozarē
jews žīdi
america amerika
out ārā
fraction frakciju
orchestra orķestra
soldiers karavīru
richly bagātīgi
cala ceļā
output produkciju
prize balva
developed attīstījusies
painter gleznotājs
blacklist karalisti
saxon sakšu
local vietējā
position pozīciju
wide plaši
commander komandieri
indicated norādīts
calling tālsarunu
michael maikls
germany vācijai
apple ābolu
built uzcelts
divided sadala
screening šķira
japanese japānu
down lejup
islam islāmam
pulse impulss
simply vienkārši
news ziņām
cells šūnās
which kurai
black melnā
head galvas
lawn zāles
sis šīs
communism komunismu
woods mežos
fled aizbēga
editions izdevumos
sir sēru
phalanx falanga
fingers pirkstiem
countries valstis
used lieto
southwestern dienvidrietumu
austria austrija
nitrogen slāpekļa
filipino filipīnu
titanium titāna
in punktā
exist pastāvēt
continuous pastāvīga
sized izmēra
players spēlētājiem
gaining iegūšana
master kapteiņa
data dati
speaking runājošo
narrow šaurā
investment investīciju
wilhelm vilhelma
elephants ziloņi
interfere traucē
july jūlijs
solar saules
career karjeras
will notiks
charles čārlzs
mark apzīmēt
regions reģioni
critics kritiķu
gene gēns
cinema kino
cases gadījumus
aldehydes aldehīdi
medals medaļas
hut budas
days dienas
objects objektiem
increases palielinās
lost zaudēja
photos fotogrāfijās
bosporus bosfora
dissatisfaction neapmierinātību
karya kārļa
my maņu
morning rīta
monsoon musonu
set kopa
motion kustības
absolute absolūta
five piecu
over pārņēma
group grupu
tada tādā
daily dienās
number skaitļi
age laikmetu
ideology ideoloģijas
azerbaijan azerbaidžāna
increased pastiprināta
walking gājiena
makes padara
dragons pūķi
central centrālamerikas
park parki
flow plūst
portal portālā
will tiks
housing korpusu
fate liktenis
cases lietās
time reizi
sexes dzimumu
basin baseinā
journey ceļojums
titles titulus
normal normālos
strains celmi
third trešās
lawmaking likumdošanā
intermediate ārā
plague mēris
daugava daugavas
industrialization industrializācija
spots plankumu
ship kuģu
madonna madonnas
occupation okupācija
itself pati
action iedarbojoties
high augstu
olympic olimpiskā
waters ūdeņi
written rakstīti
upper izveidoja
ekam ēkām
selection izlasē
old senas
successful veiksmīgs
exist esošo
vertebrate mugurkaulnieku
compared salīdzinot
tasks uzdevumus
someone kāds
components sastāvdaļas
accuracy precizitāti
already jau
obeyed pakļāvās
this šajā
long-term ilgtermiņa
fleet flote
include iekļauj
australian austrālijas
military kara
resisted pretojās
winding tinumā
olympic olimpiskajās
difficult grūtāk
discovered atklāti
nest ligzda
port portu
napoleon napoleons
developed izveidojušies
adaptation adaptācija
ill slimo
mineral derīgo
your sava
view uzskats
arctic arktikas
degree grādu
journal žurnālu
kars karš
valkyries valkīras
computers datoros
italian itāļu
molecules molekulā
marauding marodierisms
religious reliģiskā
inflation inflāciju
contributed sekmēja
base bāze
ranks ierindojas
calm bezvējš
art mākslai
value vērtība
antilles antiļu
many daudzus
simple vienkāršu
netherlands nīderlandes
attend apmeklē
self sevis
resistance pretestība
lao lapsas
baltic baltu
red sarkanajā
strong spēcīga
underwater zemūdens
functions funkcijām
phenol fenols
including tostarp
musician mūziķe
signs pazīmes
loss zaudējumus
traffic satiksmi
database datubāze
feral savvaļas
antarctica antarktīdu
circle loka
descriptions apraksti
mention pieminēt
obligation pienākums
paris pāris
strong spēcīgās
sculpture skulptūra
rivers upēm
music mūziku
empire impērija
ethnicity tautības
current maiņstrāvu
fertility auglības
integration integrācija
businesses uzņēmumu
parents vecākiem
number skaits
included grūtībām
third trešdaļa
software programmatūra
refers atsaucas
ships kuģi
united vienotas
index indekss
says saka
some kādai
broad plašā
three trīs
antarctica antarktīdas
museums muzeja
maybe varbūt
office iestāde
communications komunikāciju
fashion darināts
rejected noraidīja
region apvidus
basketball basketbolu
residents iedzīvotājus
arrive nonākt
spain spāniju
cards karbīdi
ssr psr
restricted atklāta
the kāda
explain izskaidro
vapor tvaiks
view uzskatu
belarus baltkrievijas
ticks ērces
odyssey odiseja
landscape ainavas
height augstuma
combine apvienojot
category kategorija
dense blīva
brain smadzenēs
ethiopia etiopija
passport paši
seljuk seldžuku
insect kukaiņu
electricity elektroenerģijas
district rajonu
time reize
kinu ķīnu
reveals atklāj
rays stari
chlorine alkaloīdi
columbus kolumba
global globāla
initially sākotnējā
comfortable ērti
when kad
fell kritās
wiki matemātikā
library bibliotēkas
nest ligzdas
any jebkuru
building veidošanas
snowy sniega
see sk
attention uzmanība
inclusive kopīgs
pakistan pakistāna
evaporation iztvaikošana
irony ironiju
knee celmi
novel romānā
appear parādīties
osmani osmaņi
for paredzēti
area platības
arch arka
threatened apdraudēja
hall zāle
nationality tautību
observations novērojumi
mention minēt
band joslām
therefore tāpēc
determine nosaka
other citus
end izbeigt
ella eļļas
riflemen strēlnieku
outside ārpus
genus ģints
cerebral smadzeņu
reptile rāpuļu
means nozīme
fleet floti
the nosaka
philosophy filozofijas
collision sadursmes
directed vērsti
less retāk
rivers upēs
prosaic prozas
jump jambs
landscape ainavu
bases bāzēm
leader līderis
good labu
potatoes kartupeļi
represented pārstāvēja
basketball basketbols
moved pārcēla
albania albānijā
tourism tūrisma
astronautics kosmonautika
industrial rūpnieciskās
manage pārvaldīt
include iekļauts
cakes čakstes
by kurus
semi- daļēji
zemgale zemgalē
jone jonu
virtue tikumu
safety drošība
district rajons
seasons gadalaiki
deputies deputātus
humanism humānisma
superlative visaugstākais
new jaunais
started uzsākta
causes cēloņiem
traffic satiksme
learn mācīties
rescue glabāšanas
built uzceltas
simply vienkāršs
more lielākus
roads ceļiem
dependent atkarīgas
building celtniecības
susceptible ietekmējās
confirmation apstiprinājumu
fiber šķiedras
orbit riņķo
management pārvaldes
lion lauvām
marked iezīmējās
left kreiso
dependence atkarībā
in it
coefficient koeficients
expansion ekspansija
flag karoga
thousands tūkstoši
cyanogen diciāns
according saskaņā
ambient apkārtējā
genetic ģenētiski
stage posmā
local vietējiem
time laikaposmā
thousands tūkstošu
ukrainian ukraina
aspect aspektiem
emergency avārijas
written rakstīts
arc arka
conditions apstākļi
soldiers kareivju
me man
stringed stīgu
resources resursiem
divided sadalīja
development attīstība
agriculture lauksaimniecība
hunger bada
birds putni
phenol vāciešu
possible iespējamas
good labs
stays paliek
words vārdi
vegetable dārzeņu
magnetic magnētisko
which kuras
flame liesma
processes procesi
rosenthal rozentāls
obtained guvusi
is tiek
period periodos
archaeological arheoloģiskajos
arrival ierašanās
existing esošos
developed izstrādātas
spanish spāņi
cubed kubā
work darbam
games spēlēm
loggias lodžijas
neoclassical neoklasicisma
prohibited aizliegts
l varu
prepared sāgā
legislate likumdevēja
take uzņemt
hades aīds
field lauciņu
tourist tūristu
construction būves
islam islāmu
oxygen skābeklis
position pozīcija
alps alpu
storm vētru
troops karaspēku
business uzņēmējdarbības
number skaitļa
perceived uztver
units vienībās
coincides sakrīt
neptune neptūns
simply vienkāršu
aircraft lidmašīna
accurate precīzu
estuary ietekas
medina medību
initial sākotnējās
sensory maņu
olympic olimpiskajām
defend aizstāvēt
park parka
political politiskajām
electrical elektrisko
built uzbūvēja
right tiesības
coat slānis
revival atmoda
formats formāts
significant nozīmīgākie
circuit iecirknis
prayer lūgšanas
enlightenment apgaismības
home dzimtenē
considered uzskatīja
occurrence parādības
immigration imigrācija
high augsto
for paredzēta
river upē
trend tendence
night naktī
a ā
server serverī
periods periodi
ship kuģi
formula formulas
society sabiedrība
called saukta
produces ražo
provided paredzēja
common izplatītākais
daugava daugavai
running gaitas
wells akas
plain līdzenums
vapor tvaiku
rome romai
graffiti grafiti
riga rīgā
rules noteikumus
difference starpība
trade tirdzniecībā
cover aptvēra
nature dabā
biology bioloģijas
senior vecākais
believes tic
un ano
parallelograms paralelograms
tropical tropiskie
mouse peles
meat gaļas
tevin tēviņš
goods precēm
situations situācijas
third trešā
fame slāvu
order pavēli
implemented īsteno
craftsmen amatnieku
islam islāms
version spēka
writers rakstnieki
important svarīgi
be atrasties
depot depo
adult pieaugušo
assumption pieņēmums
method metode
revolution revolūcijai
close ciešas
latvia latviju
fluctuations svārstību
free brīvo
suez suecas
posterity pēcteči
communication mijiedarbības
red sarkanās
existing pastāvošo
shark haizivīm
communal kopīgu
threatens apdraud
high augstas
particle elementārdaļiņu
genres žanri
banished padzina
works darbiem
interests interesēm
celebration svētku
view viedokļi
conditions apstākļiem
goya goija
christianity kristietību
heavy smago
for paredz
crepes krēpes
saying sākot
autumn rudens
good labo
plain līdzenumu
forward priekšu
reaching sasniedzot
geared vērsta
georges žoržs
individual atsevišķiem
quantity daudzums
dental zobu
lifestyle dzīvesveids
concert koncerts
pudding puds
current pašreizējais
fire uguni
sisters māsas
people tautai
advocates iestājas
individual individuālā
service dienests
flemish flāmu
action darbībā
developed attīstītajās
times reizes
fashioned darināts
popular populārākie
