other अन्य
republic संघिय
people जन
was परेकाले
surname शाहको
taken लाग्यो
rise बढि
yes एस्
411 ४११
kumaon कुमाउँ
mandatory अनिवार्य
kartik कार्तिकमा
expansion विस्तार
gautam गौतम
5th पाँचौँ
hawaii हवाई
religion धर्मलाई
pokhrel पोखरेल
theory सिद्धान्त
fast तीब्र
range श्रेणीको
health स्वास्थ्य
1969 १९६१
part पक्ष
organisation संगठनमा
date गतेका
official आधिकारीक
bengal बंगला
peire पियरे
sloppy भिरालो
opportunity मौका
pele पेलेको
queen रानीकी
workers कार्यकर्ता
federal गणतान्त्रिक
morph मार्फ
bamboo बाँस
surnames थरका
gain गइन्
newly नवीनता
eastern पूर्वाञ्चल
materials सामग्रीहरू
palace महल
got पाई
program कार्यक्रमहरूलाई
state प्रदेश
labours मजदुर
fact तर्क
sena सेना
junior जूनियर
play खेल्न
inform जनाएको
biratnagar विराटनगर
exit निकास
afterward पश्चात
saturn शुक्रग्रह
supervision सुपरिवेक्षण
2018 २०१८
tiger टाइगर
ganesh गणेशको
bhairav भैरव
dhakal ढकाल
restricted नियंत्रित
swarna स्वर्ण
peace अहिंसा
cuba क्युबा
son छोराका
mile मिल
cold ठण्डा
elephant हात्ती
bilateral द्विपक्षीय
u यु
shed गोठ
property सम्पन्न
afghanistan अफगानिस्तान
volleyball भलिबल
becoming हुदैँ
monarchy राजतन्त्र
energy ऊर्जा
perspective भावना
return फर्केर
consultation परामर्श
group समूहको
discovered पत्ता
fact कुरामा
description वर्णन
france फ्रान्सेली
can सकोस
outpost चौकी
series श्रृंखलामा
form स्वरूपको
force सेनालाई
litterateur साहित्यकार
strategic रणनैतिक
business व्यवसायिक
elder ठुली
prime मूल
dynasty वंशलाई
back पछाडी
pan भाँडो
widen फैलिएको
pillar स्तम्भ
prunus आरु
women नारी
island टापुहरू
developed बिकसीत
male पुरुषहरुको
subject प्रजा
gives देती
recruit भर्ती
suitable उपयुक्त
named नामक
mountains हिमालहरू
control ठेगान
rules नियम
published प्रकाशित
fundamental मौलिक
deform हिज्जे
koirala कोइराला
lumbini लुम्वीनी
64 ६४
got पाएर
land जग्गा
transmission प्रशारण
king राजाहरूको
happiness सुख
refugee शरणार्थी
kathmandu काठमाडौं
candidate उम्मेद्वार
product उत्पादनको
independent स्वतंत्र
understanding सम्झनामा
member सदस्यीय
line लस्कर
hard कडा
giving पर्न
kept राखिएको
community सामुदायीक
under अर्न्तगत
sport खेलकुद
common साधारण
associate समावेश
generally सामान्यतया
back पछाडि
telecom टेलिकमले
entry प्रवेशद्वार
traditional वैदिक
but तर
asian एशियन
earthen माटोको
physics भौतिकी
received उठाए
events घटनाहरू
aviation उड्डयन
ancient पारम्परिक
caste जतिको
