take nemen
homosexuality homoseksualiteit
winners winnaars
there heerst
exposure blootstelling
renewed vernieuwende
ascribe toegeschreven
visual visuele
caught getroffen
stronger sterkere
stayed bleef
principalities vorstendommen
huan menselijke
seated gevestigde
evangelic evangelische
surname stalins
dozens tientallen
governors gouverneurs
persian perzische
nonetheless evenwel
earlier vroegere
this hiertoe
then toenmalige
vitamin vitamine
outside buitenkant
larger groter
infected ontstoken
abate afgenomen
simple eenvoudig
franks franken
ministry ministeries
completed aangevuld
collision botsing
consequently derhalve
battle strijden
trouble moeite
moving bewegende
kuwait koeweit
commercial zakelijke
obligated verplicht
field domein
controversial controversiële
amounts hoeveelheden
turks turken
kill vermoorden
importation invoering
news nieuws
just terecht
murder vermoorden
seemed bleek
mysticism mystiek
expression meningsuiting
shot doodgeschoten
believed geloofde
minimum minimaal
compare vergelijken
large-scale grootschalige
side zuidkant
hadrian hadrianus
buy kopen
faithful trouwe
recognized erkend
italians italianen
mister meneer
contribute bijdragen
stopped gestopt
surrealists surrealisten
discriminate discriminatie
internal intern
brazil brazilië
carried opgetrokken
judgement oordeel
reform hervorming
tension spanning
heavy zware
neutral neutrale
reads luidt
urbanisation verstedelijking
direction richtlijn
intro inleiding
adjacent aangrenzende
manufacturers fabrikanten
christianity christendom
organization organisatie
connected verbonden
residents bewoners
arouse opwekken
in qua
increase expansie
delivery aflevering
depressive depressieve
deviation afwijking
regulation voorschriften
small smalle
wrote schreef
lower zakken
parted gescheiden
figures getallen
reprimand aangemerkt
wil want
popular populaire
inheritance erfenis
so-called zogeheten
drivers bestuurders
awake wakker
variations variaties
heard hoorde
containing inclusief
as evenals
immune afweersysteem
indians indiërs
linguistic taalkundig
canal kanaal
region streek
traditions overleveringen
deposit afzetten
mood stemming
journal blad
people men
fight strijden
disciples aanhang
contribution bijdrage
noticed merkte
run periode
height hoogte
events gebeurtenissen
intensity intensiteit
fungus schimmel
do hoeft
distribution distributie
poverty armoede
highest hoogst
optimal maximale
attached aangebracht
hose slang
homage eerbetoon
called genoemde
fine fijn
raised aangevoerd
around rond
fancy dromen
courses opleidingen
steersman stuurman
extract onttrekken
thick dikke
university universitaire
game spel
easier gemakkelijker
exception uitzondering
areas vlakken
amplify versterken
he degene
slowly langzaam
influences beïnvloedt
sensible verstandig
normal normale
web spinsel
bankruptcy failliet
spells spellen
formed vormden
friezes friezen
neighbours buurten
foreground voorgrond
scientist geleerde
adult volwassen
superpowers grootmachten
namely weten
antibodies antistoffen
certificate diploma
furthermore voorts
english engelse
get wordt
eighty tachtig
harmful schadelijk
authority autoriteit
weapons wapens
pyramid piramide
peninsula schiereiland
you gij
connection verbinding
completely volledig
rows rijen
fierce hevige
least minst
win verkrijgen
path pad
fee salaris
closing afsluiting
introduced doorgevoerd
formed omgevormd
appointed benoemd
approval goedkeuring
popular geliefd
spring voorjaar
enter betreden
gross grove
vomiting braken
clinical klinische
sensitive gevoelig
vatican vaticaan
fresh vers
cypher cijfer
stages stadia
diagnostics diagnostiek
soil ondergrond
authorities autoriteiten
weave spinnen
converted omgebouwd
again wederom
address verwijzen
british britten
necessary vereist
russians russen
peak hoogtepunt
adult volwassene
meaning betekenis
drastically drastisch
disturb bezwaren
target doel
about daarover
employed werkzaam
country platteland
prop steun
breasts borsten
fait lot
found teruggevonden
nuclear nucleaire
grandma grootmoeder
representation vertegenwoordiging
scholar geleerde
was liep
massively massaal
escaped ontsnapt
rigid star
sudden plotselinge
before voorheen
challenge uitdaging
hierarchy volgorde
saturn saturnus
erected opgetrokken
visual beeldende
pulled trok
advice raden
even gelijkwaardig
loses verliest
took pakte
names namen
bright helder
inflamed ontstoken
bag zak
armenian armeniërs
chimney schouw
dominated beheerst
a zekere
monumental monumentale
no geen
serious ernstig
prolonged verlengd
famous beroemde
bodies lijken
for namelijk
rebuilding wederopbouw
jewish joodse
rest uitgerust
remains rest
bubbles bellen
magnetic magnetische
association associatie
sure ervoor
again weer
can kun
acoustic akoestische
house huis
so opdat
different afwijkend
sales verkoop
time destijds
consideration beschouwing
proviso voorwaarden
leaves verlaat
based gevestigd
logic logica
despite ondanks
bearing lagerhuis
back achterkant
changed gewijzigd
right rechtse
named heten
gate poort
beverage drank
mythical mythische
partly deels
organisations organisaties
swedish zweeds
them hen
because doordat
nationalist nationalistisch
sitting zittende
twins tweeling
ill zieke
something iets
penetrate stoten
practise uitgeoefend
contains bevat
guilt schuld
accountable afleggen
bats vleermuizen
rightly terecht
christmas kerstmis
joseph jozef
pressed drukte
will zullen
change wijzigen
probability waarschijnlijkheid
wore droegen
blame wijten
compensate compenseren
memorial herdenking
con onderzoekt
wire draad
violent hevig
book boekje
limit beperken
revised herziene
armenian armeense
survive overleven
broader bredere
influenced beïnvloed
placed plaatste
society samenleving
fronts fronten
separated gescheiden
helped geholpen
vaginal vaginale
council rat
worked werkte
expect rekenen
circulatory bloedsomloop
count rekenen
lesson les
nearby nabijgelegen
insight inzicht
hallway gang
problems vraagstukken
teachers leraren
failure mislukt
fracture breuk
presumption vermoeden
worldwide wereldwijde
dike dijk
surface oppervlak
television tv
thinks meent
lonely solitair
care zorgen
pregnant zwanger
apostolic apostolische
line reeks
windstorm orkaan
alive levend
reached bereikten
principal voornaamste
martin maarten
cables draden
axes assen
songs liedjes
gaul gallia
red rode
durable duurzame
capacity capaciteit
selene seleen
hard moeizaam
college hogeschool
solitaire solitair
eg bv
electrical elektrisch
how hoe
million miljoen
book boek
environment milieu
attached vast
pelvis bekken
sorrow verdriet
prove aantonen
stains vlekken
most grootst
prolonged langdurig
century eeuw
territory territorium
considers beschouwt
television televisie
oil aardolie
northerly noordelijk
searched gezocht
devil duivel
reasonable redelijk
explorer ontdekkingsreiziger
urge aandringen
booked geboekt
means inhoudt
channel zenders
figure figuur
build bouwen
occurs optreedt
legislation wetgeving
released uitgegeven
accompanying bijbehorende
statistical statistische
jacob jakob
successful succesvolste
defeated versloeg
desired gewenste
evil kwade
slope helling
memory herinnering
young jonge
