standalone samostatný
resistance odboja
are patria
mental psychické
encyclopedia encyklopédie
placed umiestnené
soft mäkké
height výške
all všetkým
alone samotného
came prišla
reform reformácia
gdp hdp
sound zvuková
reduction redukcia
faith vierou
dance tance
coins mince
programs programov
made vyrobený
given uvedené
honorary čestný
to do
manifestations prejavov
writing písanie
cardinal kardinál
true platí
believe domnievajú
begun začať
images obrázkov
divided rozdelený
ultimately napokon
result dôsledok
created vytvoril
speaks úplný
theresa terézia
reserves zásoby
restauration reštaurácia
rock skala
built vybudovali
camps táboroch
beginnings začiatky
other druhou
website stránky
once raz
obtain získavajú
with s
real reálnom
count počtu
munich mníchove
withdraw stiahli
the oblasti
shortly krátko
sure presvedčený
construction stavebný
slovak slovenská
ecumenical pravoslávna
population obyvateľstvo
stream prúdu
along pozdĺž
rasta rástla
julia júlia
abbreviation skratka
intervention zásahu
we my
following nasledujúce
various rozličné
had malo
ruler vládcom
performed vykonávajú
mothers matku
optical optickej
download stiahnuť
built postavili
problems problémami
latest najnovších
cold studenej
night noc
how spôsobe
horizon horizontu
money peňazí
management manažment
operating pôsobiace
discover objavovať
easily ľahko
roads ciest
paleolithic paleolitu
operation pôsobení
different rozličné
tempo tempom
galaxy galaxie
replaces náhrada
shem schéma
water vodná
professionally profesionálne
sick chorých
friend priateľom
receives prijíma
different rôznymi
bring priviesť
located umiestnená
meat mäso
fortification opevnení
birds vtáky
the danej
red červených
not nemôže
product produktom
combinations kombinácie
cup cupu
bone kostné
history dejiny
used využívali
adjusts upravuje
national národnostných
jerseys dresy
study štúdiom
crusader križiackych
tick kliešťovité
consent súhlas
push tlačiť
mary máriu
position pozíciu
tracks dráh
central stredná
devolved pripadá
such takéhoto
popular obľúbený
length dĺžku
strong silná
synagogues synagógy
victim obeť
emperor cisára
use používať
increased vzrástol
baked pečene
features rysy
causes príčin
circulating obežná
southwest juhozápadnom
mechanical mechanická
memory pamiatku
mixed zmiešané
form formou
europe európe
waves vlny
dependent závislá
creation tvorbe
russian rusky
not nebola
gained získaval
rules pravidiel
possible možné
europe európa
senior vyšších
as napr
course ihrisku
end kraj
ministers ministrov
civil občianskej
government vládli
surfactants povrchové
governed riadia
applications aplikácie
itself samotnej
venus venuši
control kontrola
communications komunikácie
hungary maďarsko
sound zvuk
village dediny
not nemali
authorities orgány
goats kozy
strait prieliv
strings struny
numerically početné
electrical elektrická
main hlavnej
pronunciation výslovnosť
writing písania
persian perzského
reconnaissance skúmania
height výška
knew vedel
pet zvieraťa
which akej
fine výtvarného
those tými
iron železné
quote čítať
assumptions predpoklady
computers počítače
locks zámky
