states штатах
fishes риб
cabinet кабінет
definitely певне
man чоловік
other іншими
hiking походи
bills векселя
late пізніших
rna рнк
rococo рококо
close ближнього
legal правових
thinker мислитель
significant значною
west заходу
cars автомобілів
continued продовжувала
military воєнних
society суспільство
part участь
sultan султана
social соціальних
incomes доходів
rog розі
this такій
mars марс
settling розселення
forests ліси
meeting збір
diet сейм
musicians музиканти
classic класична
us нас
established встановлений
lenin ленін
wisdom мудрість
investigation дослідження
titles названий
gluon глюон
those тими
chemical хімічний
amounts суми
th ті
clergy духовенство
bach бах
published опублікував
local міському
holy свято
evgeny євгена
east сході
facilities кошти
thought думка
named звана
routes шляхів
existed існуючих
performances виступів
wisdom мудрості
polysaccharides полісахариди
family роду
soviet радянські
bumblebee джміль
ecosystem екосистем
poetry поезія
today сьогодні
related відноситься
step кроком
accessible доступні
scientific науковій
avenue проспект
word слово
inhabitants мешканців
element елемент
necessary необхідним
arises виникає
introduced введено
road шляхи
occupation окупація
welding зварювання
turks турками
make роблять
technical технічної
moderate помірний
high високо
light легка
administration адміністрації
appearance виступ
planet планета
execution виконання
sovereignty суверенітету
built будували
institutions інституцій
what чому
villages селах
bearer носієм
adding додавання
samples зразки
universities університетах
east схід
recreated перетворилася
station сполучення
prevention запобігання
ancient стародавньої
periodic періодичні
medieval середньовічна
act діяла
altair альтаїр
poetry поезію
impulse поштовх
philosophic філософські
bounded повязаний
combination поєднанні
geography географія
deposit внесок
principle основна
local міський
pacific тихого
men чоловіки
largest найбільшої
biology біології
unite одиниця
problem проблемою
acts діяв
external зовнішньому
films кін
figure постать
aristophanes арістофан
governor правителі
central центральної
sensation враження
temperament темпераменту
organized організований
terms відносинах
important важливими
skills уміння
housing житлових
essentially суті
helps сприяє
obligations зобовязань
announced проголошено
excavations розкопок
forms форми
phrase речення
doctor доктор
rapprochement зближення
took брала
separate окремо
give давали
reader читача
figures фігур
composers композиторів
serpents змії
manufacture виробляють
observation спостережень
side сторона
early рання
uman умані
tasks завдань
wars воєн
cellular клітинна
diagnostics діагностики
charge заряду
lived жили
wish бажання
time часи
fertilization запліднення
passed проходив
congress конгресу
are вважаються
suitable відповідної
skin шкіри
everyday побутові
deposit родовища
dniester дністер
created створювалися
started почалося
is становлять
wave хвиля
employee службовців
court суду
nature природою
tigers тигрів
nobility шляхти
reasons причини
may можуть
story оповідання
literature литературы
and а
formed утворюються
childish дитячі
contents вмісту
short короткий
sea морі
discovered виявив
writing писання
understand зрозуміти
grain зерна
military воєнні
church церков
planes літаки
temples храмів
image відображення
northern північного
values цінності
bit частка
basis підстави
forms формах
put ставили
opens відкривається
pythagoras піфагор
zones зон
thought думки
report протоколу
electronic електронний
performance виконанні
answered відповів
construction будівельні
final остаточного
community громади
caravanserai караван-сарай
used використовуються
multiform різноманітними
went йшов
need потребує
genetic генетичний
mastery майстерність
dishes страви
bear носять
makeup грім
trading торгові
assisted сприяла
originated виникло
europe європи
leader лідер
settlement посад
chain низки
conditions стани
folk народними
battle битві
station радіостанції
church церковних
export експорту
elected обираються
some якогось
transcarpathia закарпатті
wanted хотів
area площею
phenol фенол
low нижній
substance речовини
death смерті
doroshenko дорошенко
community спільнот
foreign іноземної
whole цілі
news відомості
amount обсязі
stake кіл
taxation оподаткування
favourable сприятливі
priests священиків
began розпочалося
passes проходить
regions областей
centers центрами
main основних
production виробництвом
serve служити
top верхівки
social соціальним
demand вимогу
democratic демократичні
remained залишалися
stage етап
new нову
dnepr дніпра
front передній
conditions передумови
flowers квітки
return повернення
achilles ахіллес
courts суддів
ethnic етнічних
situated знаходиться
divisions розділів
terms термінів
cost вартості
persons особи
myth міф
welding зварюванні
principles засадах
police поліції
taras тарас
national національним
height висоті
schemes схем
criticism критика
childhood дитинства
staff кадрів
danila данила
part участі
william вільям
average середньому
previous колишньої
doctrine доктрина
construction будівництві
david давид
islands островів
literatures літературах
coins монет
supported підтримувала
authority впливу
unemployment безробіття
energy енергію
produced справила
