crum vụn
those nọ
stupid ngụ
line đống
roar gầm
draft phác
bumpy gập
throat cuống
situation cảnh
v. bớ
communication communications
self tự
again hựu
develop phát
than sọ
secretly lút
bomb ném
boiling sồi
full đủ
guess đoán
v. dặn
v. sử
orphan côi
conservative dè
militarism phiệt
boat đò
fragrance hương
startling sửng
pure khiết
poland gdańsk
n. sáu
beach bãi
busy nập
n. cung
not khổng
n phường
nobita nôbita
n. nhôm
massive ạt
peach tâu
vein gân
united hiệp
sing hát
sex dâm
monitor dõi
v. rưới
bell chuông
n. quạ
plate biển
n. mồi
unjustly oan
sterilize tiệt
where đâu
front trước
wharf bến
mau mậu
damage tổn
n răng
horror rùng
delay hoãn
cereal cốc
praise ngợi
loud ĩ
adj đói
refugee tị
v. dấy
animated náo
group chòm
phosphate phốt
tho thò
depreciation hào
donate quyên
cramped chội
spy điệp
virtue đức
v. nảy
boil đun
period đọan
pineapple dứa
belong thuộc
bore khoán
stale thiu
america mĩ
carry thồ
border viền
twist xoắn
messy xộn
capability khả
wait đợi
podium bục
part mảng
n. yến
n. cacbua
debt nần
thigh đùi
n. dăm
silicon silic
n. lưới
and va
he chàng
pleasurable thú
guests khách
front tiền
dramatic cấn
dragon long
spring suối
major tá
stir quấy
that ràng
dy dỹ
moscow moskva
v. chuyền
pot nổi
calcium canxi
finish xong
spell vần
prospered khấm
scar sẹo
humiliated tủi
flower hoa
vegetable rau
published bồ
cuc cúc
cure trị
kid cháu
hook móc
depend tùy
plus them
v. cạn
direction hướng
however song
jam mứt
with với
the bẩn
would náo
gui gửi
hand đàng
bulbs củ
bankrupt quệ
thousand nghìn
plastic nhựa
popular phổ
v. ghen
minister tướng
n bò
chink khe
n. kuwait
stuff tỏi
v. thầm
n. ngò
cabinet tủ
liquor rượu
rammed nện
enthusiasm hăng
typhoon dông
n. môi
commandment răn
waste hao
thoroughly xuyến
salary lương
water nước
entrusted gắm
tissue mộ
anchor neo
the việc
v. thả
hard cứng
commerce mại
grave mồ
cereal cốm
little nhí
v. thâu
disorder loạn
as cỏi
exceeded thừa
cup cúp
emulsions nhũ
embryo phôi
spread phết
n. thận
gdansk gdańsk
dark sẫm
advise dặn
cramped chật
tremendous gớm
pee tẻ
look nhìn
thin dẹt
worst đát
talisman bùa
swallow nuốt
years tuế
oligarchy sỏ
dike đê
edging diềm
stupid ngớ
jealous ghen
grass cỏ
n mỏm
rotten thối
row rặng
role trò
hong hông
internals ruột
the mức
tight dè
v bưng
demand nhu
v. hút
metre mét
post bưu
carpet thảm
algae rong
rodent gặm
v. bán
man mặn
v thải
tense căng
irritate chọc
orange cam
fracture gãy
mouse chuột
n mùi
retired hưu
nests sảo
girl bửa
small nhỏ
dozen chục
bunch đóa
lottery xổ
n. bột
pulse mạch
less kém
mean tồi
hoe cuốc
admirer ngưỡng
deported đáy
shape dấp
destroy hủy
strange kỳ
module modul
n. hè
gray xám
method thức
business doanh
too quá
oath thể
college collège
side hông
stripe sọc
n. dừa
phd ts
ass mông
fresh tươi
sugar-cane mía
faint xỉu
n mứt
tens lăm
died khuất
v. tô
sex làm
widowed góa
challenge thách
today nay
defect khiếm
me mình
caricature biếm
wetland lầy
the ðiều
peace hòa
than sô
v. giương
parrots vẹt
bet cược
silence lặng
now bây
exactly hệt
snap búng
speak ngôn
elbow khuỷu
n. thuyên
soldier lính
gene gen
amount lượng
v. phê
line dãy
sail buồm
dut đứt
factory xưởng
lace ren
house nhà
liter lít
shark mập
candy kẹo
betrayal tráo
piece mẩu
v. mướn
garbage rác
eagle bàng
song hát
wine rượu
week tuần
lap lặp
helped dìu
forget quên
slash chém
sunlight nắng
husk trấu
fasting chay
turning quay
scratch trầy
stage tành
passage đọan
articles bài
impulse đẩy
grasshopper chấu
n. diệc
adj vuông
n. vừng
agricultural nông
silly ngớ
v. hàm
elect bầu
erode xói
hut túp
jesus giêxu
bladder bọng
separated lìa
hot bỏng
n át
business kình
mother mẹ
pocket túi
faint nhứt
skirt váy
embed nhúng
contrary trái
phial lọ
virginal trinh
resistance kháng
immediately bèn
look soi
embedded nhúng
cup chén
pilgrimage trẩy
amplifier khuếch
more nữa
v. huấn
v. dối
creep trườn
shavings phối
volume cuốn
invade chiếm
former cựu
tear xé
spleen tỳ
late muộn
monk sư
good thiện
n. mẹo
exhausted cằn
inch tấc
old cũ
german die
insolent ngạo
v xay
miscellaneous tạp
and bước
plate dĩa
achievement tựu
infrastructure hạ
flu cúm
v. bái
people ta
depending tùy
policy trương
aspiration nguyện
aldehyde anđêhít
leave khỏi
float phao
row hàng
violence bạo
n. gò
talk chuyện
the các
protection vệ
malaysia malay
believe niệm
trigger cờ
thunderstorm dông
improve dồi
oppose chọi
of lượng
that nọ
v. cười
billion tỷ
timid nhút
rife hoành
deep thẫm
heavy nặng
n. lũ
idle phiếm
implantation cấy
intercalation nhuận
fit ghép
talk nói
ability khả
meet gặp
forever mãi
cursory hời
tear rách
start khởi
