concept:academicfieldhassubfield	arg2 capture throughout arg1,3.0
concept:academicfieldsuchasacademicfield	arg2 evolve from arg1 (CPL),73.60952380952381;arg1 belong arg2 (CPL),3.25;arg2 belong arg1 (CPL),3.25;arg1 conduct into arg2 (CPL),1.0;arg1 meet of arg2 (CPL),1.0;arg2 ally arg1 (CPL),0.5;arg1 ally arg2 (CPL),0.5;arg1 major in arg2,497.96296296296305;arg2 provide on arg1,299.66666666666663;arg1 concern with arg2,239.45;arg1 go about arg2,142.33690476190475;arg1 provide into arg2,138.5625;arg1 (passive) provide as arg2,128.55360195360197;arg1 describe in arg2,119.56666666666666;arg1 underlie arg2,117.47222222222221;arg1 provide on arg2,114.82222222222222;arg2 provide into arg1,112.0;arg2 be among arg1,107.53333333333333;arg1 reveal on arg2,103.16666666666666;arg2 reveal on arg1,95.5;arg1 evolve from arg2,93.44285714285715;arg1 relish arg2,92.11904761904762;arg2 (passive) provide as arg1,90.89346764346764;arg1 take through arg2,90.0625;arg1 improve through arg2,90.00317460317461;arg2 include among arg1,82.25;arg2 become as arg1,80.72142857142856
concept:academicfieldusedbyeconomicsector	arg2 advertise without arg1,9.0;arg2 vend in arg1,2.0
concept:academicprogramatuniversity	arg2 publish in arg1,63.25;arg2 prepare through arg1,1.1111111111111112;arg2 oregon in arg1,1.0;arg1 (passive) require at arg2,1.0;arg2 reflect that arg1,0.8888888888888888;arg2 restore of arg1,0.6666666666666666;arg2 encompass from arg1,0.6666666666666666;arg2 undertake with arg1,0.5
concept:actorstarredinmovie	arg1 win for arg2 (CPL),290.3333333333333;arg1 star in arg2 (CPL),160.21666666666667;arg1 drive in arg2 (CPL),84.66666666666667;arg1 film arg2 (CPL),62.5;arg1 cut for arg2 (CPL),18.5;arg1 meet of arg2 (CPL),3.0;arg1 reprise in arg2 (CPL),3.0;arg1 portray in arg2 (CPL),2.0;arg1 play as arg2,166.4047619047619;arg1 lead with arg2,131.40833333333333;arg1 advise in arg2,71.16666666666666;arg1 struggle through arg2,68.20370370370371;arg1 prep for arg2,68.16666666666666;arg1 attach with arg2,64.16666666666667;arg1 shine arg2,47.214285714285715;arg1 plug arg2,46.0;arg2 co-star arg1,34.833333333333336;arg1 transfer in arg2,34.833333333333336;arg1 grab in arg2,30.466666666666665;arg1 star from arg2,29.333333333333336;arg1 spot on arg2,29.27777777777778;arg2 become of arg1,27.5;arg1 interview on arg2,21.633333333333333
concept:agentcreatedorganization	arg2 establish by arg1,2.0;arg2 originate under arg1,1.0
concept:agriculturalproductcamefromcountry	arg1 (passive) grow in arg2 (CPL),80.36666666666667;arg1 bloom in arg2 (CPL),2.0;arg1 (passive) produce in arg2 (CPL),1.5;arg1 extract in arg2,28.5;arg1 originate from arg2,12.0;arg1 (passive) import from arg2,8.5;arg1 stuff from arg2,4.0;arg1 flourish in arg2,3.3333333333333335;arg2 pile of arg1,2.0;arg1 wish of arg2,1.5;arg1 weave from arg2,1.5;arg1 (passive) weave over arg2,1.0;arg1 supply by arg2,1.0;arg1 contaminate in arg2,1.0;arg1 (passive) consume in arg2,0.6666666666666666;arg1 flavor in arg2,0.6666666666666666;arg1 (passive) ship from arg2,0.6666666666666666;arg1 deliver across arg2,0.5;arg2 overturn from arg1,0.5
concept:agriculturalproductcomingfromvertebrate	arg2 produce arg1 (CPL),818.5;arg2 lay arg1 (CPL),722.0;arg2 fill with arg1 (CPL),702.3333333333334;arg1 come from arg2 (CPL),243.0;arg1 carry from arg2 (CPL),176.02777777777777;arg2 yield arg1 (CPL),144.41666666666666;arg1 (passive) make from arg2 (CPL),88.5;arg2 drink arg1 (CPL),74.5;arg2 raise for arg1 (CPL),62.214285714285715;arg2 lay for arg1 (CPL),45.16666666666667;arg2 hatch arg1 (CPL),32.833333333333336;arg2 (passive) lay arg1 (CPL),32.166666666666664;arg2 skim arg1 (CPL),30.333333333333332;arg2 deposit arg1 (CPL),29.208333333333332;arg2 hatch from arg1 (CPL),27.0;arg1 hatch arg2 (CPL),26.416666666666664;arg2 prefer with arg1 (CPL),23.666666666666668;arg2 incubate arg1 (CPL),21.333333333333336;arg2 brood over arg1 (CPL),14.0;arg2 fertilize arg1 (CPL),12.666666666666666;arg2 keep for arg1 (CPL),10.0;arg1 produce from arg2 (CPL),10.0;arg2 (passive) keep for arg1 (CPL),8.291666666666668;arg2 scramble arg1 (CPL),7.0;arg1 hatch into arg2 (CPL),4.666666666666666;arg2 exploit for arg1 (CPL),4.0;arg1 teach arg2,158.0;arg2 drop arg1,141.5;arg2 concentrate in arg1,75.5;arg2 guard arg1,74.42857142857143;arg2 surrender arg1,65.04166666666667;arg1 sit as arg2,58.05;arg1 hatch from arg2,54.666666666666664;arg1 dream of arg2,52.27777777777778;arg1 inject arg2,48.5;arg2 extrude arg1,48.25;arg2 churn arg1,47.5
concept:agriculturalproductcontainchemical	arg1 contain arg2 (CPL),638.0;arg1 cultivate without arg2,1.5
concept:agriculturalproductcookedwithagriculturalproduct	arg2 stuff with arg1 (CPL),123.75000000000001;arg1 stuff with arg2 (CPL),84.83333333333333;arg1 toss with arg2 (CPL),80.5;arg2 toss with arg1 (CPL),80.05555555555556;arg1 cook with arg2 (CPL),71.34444444444443;arg2 chop with arg1 (CPL),65.79166666666667;arg1 cook in arg2 (CPL),44.375;arg1 pickle arg2 (CPL),42.94444444444444;arg2 cook with arg1 (CPL),40.25;arg1 scramble with arg2 (CPL),11.5;arg1 curry with arg2 (CPL),8.125;arg1 sprinkle with arg2 (CPL),6.5;arg1 caramelize arg2 (CPL),2.375;arg1 braise with arg2 (CPL),2.0;arg1 grind of arg2 (CPL),1.8666666666666667;arg2 grind of arg1 (CPL),1.8666666666666667;arg1 caramelize with arg2 (CPL),1.5;arg2 marinate in arg1 (CPL),1.0;arg2 feature at arg1,162.05555555555557;arg1 flour arg2,139.6;arg2 flour arg1,137.0;arg1 pair with arg2,118.58333333333334;arg2 serve over arg1,109.46666666666665;arg1 peel arg2,85.72222222222223;arg2 serve on arg1,83.66666666666667;arg1 feature at arg2,83.0;arg2 peel arg1,79.15555555555555;arg1 taste with arg2,71.85515873015873;arg2 get before arg1,71.41666666666667;arg1 burst with arg2,67.5;arg2 burst with arg1,66.66666666666666;arg1 contain as arg2,64.25
concept:agriculturalproductcutintogeometricshape	arg1 cut into arg2 (CPL),208.75;arg1 chop into arg2 (CPL),13.0;arg1 cook in arg2 (CPL),3.0;arg1 flavor arg2,120.08333333333333;arg2 dice arg1,52.0;arg2 pickle arg1,9.0;arg2 tumble over arg1,1.3333333333333333;arg1 extract for arg2,1.0;arg1 persevere in arg2,1.0
concept:agriculturalproductgrowinginstateorprovince	arg1 (passive) grow in arg2 (CPL),1.5;arg2 plant with arg1,26.0;arg1 pile in arg2,15.5;arg2 harvest arg1,12.5;arg2 monetize arg1,8.75;arg1 migrate into arg2,1.0;arg1 compress in arg2,0.5
concept:agriculturalproductgrowninlandscapefeatures	arg1 bloom in arg2 (CPL),1.5;arg1 bloom on arg2 (CPL),1.0;arg2 cultivate arg1,3.5;arg1 shake on arg2,1.5;arg1 identify on arg2,1.5;arg1 grow about arg2,1.0;arg1 withdraw into arg2,1.0;arg1 adapt in arg2,0.75;arg1 (passive) crowd into arg2,0.625;arg1 move about arg2,0.5;arg1 range through arg2,0.5
